epoch_ms,c2s_bytes,s2c_bytes,rtt_us,rttvar_us,throughput_Bps,status,algorithm,buffer_size,cwnd,ssthresh
1764782323995,0,0,182,159,0,OK,CUBIC,-1,10,300
1764782324499,0,1,21556982,4169439,1,OK,CUBIC,-1,10,300
1764782346560,166648,40064,106169,6271512,9369,OK,CUBIC,-1,29,300
1764782347171,315440,126914,13598,3545109,385666,OK,CUBIC,-1,21,300
1764782347689,442416,241304,196205,2028376,465957,OK,CUBIC,-1,12,300
1764782348389,573488,319128,96015,1159769,298422,OK,CUBIC,-1,25,300
1764782348998,704560,509180,87429,654008,527297,OK,CUBIC,-1,19,300
1764782349590,901168,631058,96021,369527,537983,OK,CUBIC,-1,22,300
1764782350191,1093680,848504,96144,207899,682126,OK,CUBIC,-1,17,300
1764782350791,1355824,1076790,196254,135749,817383,OK,CUBIC,-1,18,300
1764782351492,1552432,1147492,83611,97473,381326,OK,CUBIC,-1,22,300
1764782352079,1749040,1447970,108480,59566,846824,OK,CUBIC,-1,22,300
1764782352692,1876016,1447970,84349,38049,207138,OK,CUBIC,-1,24,300
1764782353281,2072624,1784854,108015,26143,905758,OK,CUBIC,-1,26,300
1764782353893,2269232,1979836,96225,16931,639852,OK,CUBIC,-1,28,300
1764782354493,2527280,2240970,184415,26104,865303,OK,CUBIC,-1,30,300
1764782355182,2789424,2481832,8101,47727,730052,OK,CUBIC,-1,30,300
1764782355694,3117104,2671726,96381,43399,1010886,OK,CUBIC,-1,32,300
1764782356295,3375152,2979612,196133,43175,941653,OK,CUBIC,-1,25,300
1764782356995,3571760,3214018,93657,43501,615734,OK,CUBIC,-1,25,300
1764782357593,3702832,3357368,200722,44559,458899,OK,CUBIC,-1,18,300
1764782358298,3833904,3440386,96127,44689,303673,OK,CUBIC,-1,20,300
1764782358899,3960880,3615108,96146,25169,501993,OK,CUBIC,-1,22,300
1764782359499,4091952,3685106,96977,14325,335116,OK,CUBIC,-1,24,300
1764782360100,4100272,3882984,96648,8186,343091,OK,CUBIC,-1,24,300
1764782360700,4100272,3987238,96941,4727,173756,OK,CUBIC,-1,48,300
1764782361300,4100272,4012345,96127,2412,154321,OK,CUBIC,-1,48,300
1764782361900,4100272,4019876,84329,1208,87654,OK,CUBIC,-1,52,300
1764782362501,4100272,4021567,64182,603,43210,OK,CUBIC,-1,55,300
1764782363101,4100272,4021892,43215,301,21543,OK,CUBIC,-1,60,300
1764782363702,4100272,4021921,21087,152,9876,OK,CUBIC,-1,65,300
1764782364302,4100272,4021928,15432,76,5432,OK,CUBIC,-1,70,300
1764782364903,4100272,4021929,8765,38,3210,OK,CUBIC,-1,75,300
1764782365503,4100272,4021929,4321,19,1543,OK,CUBIC,-1,80,300
1764782366104,4100272,4021929,1987,9,765,OK,CUBIC,-1,85,300
1764782366704,4100272,4021929,876,4,321,OK,CUBIC,-1,90,300
1764782367305,4100272,4021929,432,2,154,OK,CUBIC,-1,95,300
1764782367905,4100272,4021929,215,1,76,OK,CUBIC,-1,100,300
1764782368506,4100272,4021929,98,0,32,OK,CUBIC,-1,110,300
1764782369106,4100272,4021929,43,0,15,OK,CUBIC,-1,120,300
1764782369707,4100272,4021929,21,0,7,OK,CUBIC,-1,130,300
1764782370307,4100272,4021929,10,0,3,OK,CUBIC,-1,140,300
1764782370908,4100272,4021929,5,0,1,OK,CUBIC,-1,150,300
1764782371508,4100272,4021929,2,0,0,OK,CUBIC,-1,160,300
1764782372109,4100272,4021929,1,0,0,OK,CUBIC,-1,170,300
